Date,dsp_phyto,asp_phyto,psp_phyto
2014-11-09,20.0,20.0,20.0
2014-11-16,20.0,20.0,20.0
2014-11-23,20.0,20.0,20.0
2014-11-30,20.0,20.0,20.0
2014-12-07,20.0,20.0,20.0
2014-12-14,20.0,10553.0,20.0
2014-12-21,20.0,20.0,20.0
2014-12-28,20.0,10553.0,20.0
2015-01-04,20.0,42240.0,20.0
2015-01-11,20.0,22425.0,40.0
2015-01-18,20.0,2273.0,20.0
2015-01-25,20.0,20.0,20.0
2015-02-01,20.0,20.0,40.0
2015-02-08,20.0,20.0,120.0
2015-02-15,20.0,20.0,20.0
2015-02-22,20.0,20.0,160.0
2015-03-01,20.0,20.0,20.0
2015-03-08,20.0,9094.0,20.0
2015-03-15,20.0,20.0,20.0
2015-03-22,20.0,5277.0,20.0
2015-03-29,20.0,25120.0,20.0
2015-04-05,20.0,2273.0,20.0
2015-04-12,40.0,66134.0,40.0
2015-04-19,80.0,36938.0,20.0
2015-04-26,280.0,2638.0,20.0
2015-05-03,20.0,520080.0,40.0
2015-05-10,20.0,20.0,20.0
2015-05-17,1360.0,20.0,20.0
2015-05-24,80.0,62002.0,40.0
2015-05-31,20.0,20.0,200.0
2015-06-07,80.0,9234.0,20.0
2015-06-14,20.0,20.0,20.0
2015-06-21,20.0,5277.0,20.0
2015-06-28,20.0,20.0,20.0
2015-07-05,100.0,20.0,20.0
2015-07-12,20.0,20.0,20.0
2015-07-19,80.0,5280.0,40.0
2015-07-26,40.0,6752.0,20.0
2015-08-02,160.0,87067.0,40.0
2015-08-09,280.0,60683.0,20.0
2015-08-16,60.0,6821.0,20.0
2015-08-23,160.0,20.0,80.0
2015-08-30,120.0,31680.0,20.0
2015-09-06,480.0,20.0,20.0
2015-09-13,80.0,20.0,20.0
2015-09-20,200.0,20.0,20.0
2015-09-27,20.0,2640.0,20.0
2015-10-04,20.0,20.0,20.0
2015-10-11,40.0,20.0,20.0
2015-10-18,80.0,3142.0,20.0
2015-10-25,20.0,20.0,20.0
2015-11-01,40.0,20.0,20.0
2015-11-08,120.0,20.0,20.0
2015-11-15,400.0,20.0,1320.0
2015-11-22,40.0,20.0,320.0
2015-11-29,20.0,20.0,20.0
2015-12-06,20.0,20.0,20.0
2015-12-13,20.0,3267.0,20.0
2015-12-20,20.0,20.0,20.0
2015-12-27,20.0,20.0,20.0
2016-01-03,20.0,20.0,20.0
2016-01-10,20.0,20.0,20.0
2016-01-17,20.0,20.0,20.0
2016-01-24,20.0,20.0,20.0
2016-01-31,40.0,20.0,20.0
2016-02-07,20.0,20.0,20.0
2016-02-14,20.0,20.0,20.0
2016-02-21,20.0,20.0,20.0
2016-02-28,20.0,20.0,20.0
2016-03-06,20.0,20.0,20.0
2016-03-13,20.0,20.0,20.0
2016-03-20,20.0,20.0,20.0
2016-03-27,20.0,20.0,20.0
2016-04-03,1100.0,20.0,80.0
2016-04-10,20.0,20.0,20.0
2016-04-17,20.0,20.0,20.0
2016-04-24,20.0,20.0,20.0
2016-05-01,,,32.0
2016-05-08,40.0,20.0,20.0
2016-05-15,,,20.0
2016-05-22,,,20.0
2016-05-29,40.0,16337.0,20.0
2016-06-05,80.0,15492.0,20.0
2016-06-12,80.0,171200.0,20.0
2016-06-19,200.0,870400.0,20.0
2016-06-26,20.0,464956.0,20.0
2016-07-03,20.0,33600.0,20.0
2016-07-10,20.0,20.0,20.0
2016-07-17,,,20.0
2016-07-24,40.0,20.0,20.0
2016-07-31,40.0,6400.0,20.0
2016-08-07,840.0,11200.0,20.0
2016-08-14,161600.0,200.0,20.0
2016-08-21,347280.0,6400.0,20.0
2016-08-28,240.0,20.0,20.0
2016-09-04,200.0,20.0,20.0
2016-09-11,80.0,20.0,240.0
2016-09-18,120.0,20.0,40.0
2016-09-25,200.0,20.0,20.0
2016-10-02,44320.0,20.0,20.0
2016-10-09,160.0,20.0,20.0
2016-10-16,360.0,20.0,20.0
2016-10-23,280.0,20.0,20.0
2016-10-30,160.0,20.0,240.0
2016-11-06,,,271.42857142857144
2016-11-13,40.0,20.0,20.0
2016-11-20,20.0,20.0,20.0
2016-11-27,120.0,20.0,1560.0
2016-12-04,20.0,20.0,480.0
2016-12-11,20.0,20.0,120.0
2016-12-18,80.0,20.0,3880.0
2016-12-25,40.0,20.0,480.0
2017-01-01,80.0,20.0,20.0
2017-01-08,20.0,20.0,760.0
2017-01-15,40.0,20.0,600.0
2017-01-22,20.0,28800.0,20.0
2017-01-29,20.0,20.0,20.0
2017-02-05,20.0,3200.0,320.0
2017-02-12,20.0,20.0,20.0
2017-02-19,20.0,20.0,20.0
2017-02-26,20.0,20.0,20.0
2017-03-05,20.0,20.0,20.0
2017-03-12,20.0,20.0,20.0
2017-03-19,20.0,20.0,20.0
2017-03-26,20.0,20.0,20.0
2017-04-02,20.0,20.0,20.0
2017-04-09,40.0,20.0,20.0
2017-04-16,20.0,20.0,20.0
2017-04-23,200.0,40000.0,20.0
2017-04-30,520.0,6400.0,20.0
2017-05-07,80.0,20800.0,20.0
2017-05-14,520.0,3200.0,20.0
2017-05-21,280.0,24600.0,20.0
2017-05-28,160.0,20.0,20.0
2017-06-04,,,20.0
2017-06-11,120.0,3280.0,20.0
2017-06-18,80.0,49600.0,20.0
2017-06-25,80.0,8000.0,20.0
2017-07-02,20.0,20.0,20.0
2017-07-09,20.0,20.0,20.0
2017-07-16,200.0,14400.0,280.0
2017-07-23,80.0,56000.0,20.0
2017-07-30,440.0,32000.0,20.0
2017-08-06,,,145.71428571428572
2017-08-13,20.0,20.0,20.0
2017-08-20,40.0,4800.0,20.0
2017-08-27,20080.0,4920.0,640.0
2017-09-03,320.0,20.0,20.0
2017-09-10,1043540.0,20.0,20.0
2017-09-17,20.0,20.0,20.0
2017-09-24,20.0,20.0,20.0
2017-10-01,20.0,16000.0,20.0
2017-10-08,20.0,20.0,20.0
2017-10-15,20.0,20.0,20.0
2017-10-22,80.0,20.0,20.0
2017-10-29,240.0,20.0,20.0
2017-11-05,20.0,20.0,20.0
2017-11-12,20.0,20.0,20.0
2017-11-19,20.0,19200.0,20.0
2017-11-26,20.0,20.0,20.0
2017-12-03,20.0,20.0,20.0
2017-12-10,20.0,20.0,20.0
2017-12-17,40.0,20.0,20.0
2017-12-24,20.0,20.0,20.0
2017-12-31,80.0,20.0,20.0
2018-01-07,40.0,20.0,20.0
2018-01-14,20.0,20.0,20.0
2018-01-21,20.0,20.0,20.0
2018-01-28,20.0,20.0,20.0
2018-02-04,20.0,20.0,20.0
2018-02-11,20.0,20.0,20.0
2018-02-18,20.0,20.0,20.0
2018-02-25,20.0,20.0,20.0
2018-03-04,20.0,16000.0,20.0
2018-03-11,20.0,27200.0,20.0
2018-03-18,40.0,14400.0,20.0
2018-03-25,1760.0,20.0,20.0
2018-04-01,20.0,20.0,20.0
2018-04-08,20.0,20.0,20.0
2018-04-15,20.0,20.0,20.0
2018-04-22,7000.0,20.0,20.0
2018-04-29,2760.0,20.0,20.0
2018-05-06,11200.0,20.0,20.0
2018-05-13,75840.0,28800.0,20.0
2018-05-20,20.0,169600.0,20.0
2018-05-27,20.0,20.0,20.0
2018-06-03,8560.0,4800.0,20.0
2018-06-10,440.0,17600.0,20.0
2018-06-17,160.0,20.0,20.0
2018-06-24,20.0,27200.0,20.0
2018-07-01,120.0,100800.0,20.0
2018-07-08,80.0,56000.0,20.0
2018-07-15,20.0,561600.0,20.0
2018-07-22,40.0,14400.0,20.0
2018-07-29,40.0,20800.0,20.0
2018-08-05,20.0,9600.0,20.0
2018-08-12,20.0,20.0,560.0
2018-08-19,20.0,20.0,20.0
2018-08-26,40.0,20.0,320.0
2018-09-02,40.0,20.0,600.0
2018-09-09,20.0,20.0,20.0
2018-09-16,20.0,20.0,20.0
2018-09-23,20.0,20.0,20.0
2018-09-30,1600.0,20.0,400.0
2018-10-07,20.0,20.0,20.0
2018-10-14,,,74.28571428571429
2018-10-21,20.0,3280.0,20.0
2018-10-28,20.0,20.0,20.0
2018-11-04,20.0,20.0,20.0
2018-11-11,40.0,1640.0,20.0
2018-11-18,20.0,20.0,20.0
2018-11-25,20.0,20.0,20.0
2018-12-02,20.0,20.0,20.0
2018-12-09,20.0,20.0,20.0
2018-12-16,20.0,20.0,20.0
2018-12-23,20.0,20.0,20.0
2018-12-30,40.0,20.0,20.0
2019-01-06,20.0,20.0,20.0
2019-01-13,40.0,20.0,20.0
2019-01-20,40.0,4920.0,20.0
2019-01-27,20.0,20.0,20.0
2019-02-03,20.0,1640.0,20.0
2019-02-10,20.0,1640.0,20.0
2019-02-17,20.0,2460.0,20.0
2019-02-24,20.0,20.0,20.0
2019-03-03,20.0,20.0,20.0
2019-03-10,940.0,9840.0,20.0
2019-03-17,40.0,20.0,20.0
2019-03-24,20.0,20.0,20.0
2019-03-31,20.0,20.0,20.0
2019-04-07,20.0,22140.0,20.0
2019-04-14,20.0,31980.0,20.0
2019-04-21,7000.0,34440.0,20.0
2019-04-28,240.0,60680.0,20.0
2019-05-05,40.0,22140.0,20.0
2019-05-12,40.0,31160.0,20.0
2019-05-19,80.0,20.0,20.0
2019-05-26,360.0,27880.0,20.0
2019-06-02,20.0,30340.0,20.0
2019-06-09,120.0,5740.0,20.0
2019-06-16,20.0,12300.0,20.0
2019-06-23,40.0,32800.0,20.0
2019-06-30,20.0,57400.0,20.0
2019-07-07,20.0,20.0,20.0
2019-07-14,20.0,20.0,20.0
2019-07-21,40.0,20.0,20.0
2019-07-28,240.0,26240.0,480.0
2019-08-04,80.0,18860.0,20.0
2019-08-11,600.0,272240.0,20.0
2019-08-18,120.0,1640.0,20.0
2019-08-25,1800.0,5740.0,400.0
2019-09-01,6440.0,27880.0,240.0
2019-09-08,1080.0,180400.0,240.0
2019-09-15,,,184.0
2019-09-22,,,196.0
2019-09-29,400.0,9020.0,20.0
2019-10-06,,,76.0
2019-10-13,920.0,3280.0,80.0
2019-10-20,20.0,20.0,20.0
2019-10-27,20.0,20.0,20.0
2019-11-03,20.0,20.0,20.0
2019-11-10,320.0,20.0,20.0
2019-11-17,20.0,20.0,20.0
2019-11-24,20.0,20.0,20.0
2019-12-01,20.0,20.0,20.0
2019-12-08,20.0,20.0,20.0
2019-12-15,20.0,20.0,20.0
2019-12-22,20.0,20.0,20.0
2019-12-29,20.0,20.0,20.0
2020-01-05,,,20.0
2020-01-12,20.0,20.0,20.0
2020-01-19,40.0,20.0,20.0
2020-01-26,20.0,200.0,20.0
2020-02-02,20.0,1360.0,20.0
2020-02-09,600.0,20.0,20.0
2020-02-16,880.0,160.0,20.0
2020-02-23,1000.0,680.0,20.0
2020-03-01,20.0,20.0,20.0
2020-03-08,20.0,20.0,20.0
2020-03-15,20.0,80.0,20.0
2020-03-22,20.0,80.0,20.0
2020-03-29,,,20.0
2020-04-05,20.0,20.0,20.0
2020-04-12,40.0,19520.0,20.0
2020-04-19,40.0,3120.0,20.0
2020-04-26,40.0,800.0,20.0
2020-05-03,160.0,3520.0,20.0
2020-05-10,1400.0,960.0,20.0
2020-05-17,240.0,20.0,20.0
2020-05-24,480.0,20.0,20.0
2020-05-31,40.0,9160.0,20.0
2020-06-07,40.0,4720.0,840.0
2020-06-14,160.0,3840.0,4200.0
2020-06-21,20.0,1080.0,20.0
2020-06-28,40.0,12280.0,2920.0
2020-07-05,280.0,4400.0,2800.0
2020-07-12,120.0,12120.0,20.0
2020-07-19,240.0,54940.0,20.0
2020-07-26,120.0,11240.0,20.0
2020-08-02,40.0,20.0,20.0
2020-08-09,20.0,640.0,20.0
2020-08-16,200.0,20.0,20.0
2020-08-23,320.0,20.0,20.0
2020-08-30,400.0,200.0,20.0
2020-09-06,320.0,20.0,20.0
2020-09-13,40.0,58220.0,20.0
2020-09-20,40.0,1400.0,20.0
2020-09-27,20.0,20.0,20.0
2020-10-04,80.0,20.0,20.0
2020-10-11,20.0,20.0,20.0
2020-10-18,20.0,20.0,20.0
2020-10-25,,,20.0
2020-11-01,920.0,1560.0,20.0
2020-11-08,720.0,480.0,20.0
2020-11-15,120.0,20.0,20.0
2020-11-22,200.0,11200.0,20.0
2020-11-29,520.0,440.0,20.0
2020-12-06,20.0,20.0,20.0
2020-12-13,40.0,760.0,20.0
2020-12-20,20.0,20.0,20.0
2020-12-27,20.0,20.0,20.0
